SSDSE-D-2021,2016年,Prefecture,MH01,MH04
男女の別,地域コード,都道府県,起床,就寝
1_男,R24000,三重県,6:47,23:10
1_男,R25000,滋賀県,6:39,23:20
1_男,R26000,京都府,7:06,23:47
1_男,R27000,大阪府,6:56,23:40
1_男,R28000,兵庫県,6:46,23:25
1_男,R29000,奈良県,6:38,23:20
1_男,R30000,和歌山県,6:45,23:07
1_男,R31000,鳥取県,6:32,22:55
1_男,R32000,島根県,6:38,22:55
1_男,R33000,岡山県,6:31,23:00
1_男,R34000,広島県,6:46,23:24
1_男,R35000,山口県,6:38,23:03
1_男,R36000,徳島県,6:43,23:02
1_男,R37000,香川県,6:27,23:00
1_男,R38000,愛媛県,6:49,23:22
1_男,R39000,高知県,6:36,22:59
1_男,R40000,福岡県,6:44,23:20
1_男,R41000,佐賀県,6:41,23:03
1_男,R42000,長崎県,6:32,23:02
1_男,R43000,熊本県,6:29,23:03
1_男,R44000,大分県,6:33,23:08
1_男,R45000,宮崎県,6:35,22:53
1_男,R46000,鹿児島県,6:26,22:54
1_男,R47000,沖縄県,6:42,23:18
2_女,R00000,全国,6:24,23:08
2_女,R01000,北海道,6:18,22:55
2_女,R02000,青森県,6:11,22:33
2_女,R03000,岩手県,6:11,22:42
2_女,R04000,宮城県,6:17,22:52
2_女,R05000,秋田県,6:14,22:31
2_女,R06000,山形県,6:18,22:44
2_女,R07000,福島県,6:13,22:41
2_女,R08000,茨城県,6:15,23:05
2_女,R09000,栃木県,6:14,22:52
2_女,R10000,群馬県,6:20,22:58
2_女,R11000,埼玉県,6:19,23:15
2_女,R12000,千葉県,6:21,23:12
2_女,R13000,東京都,6:39,23:24
2_女,R14000,神奈川県,6:20,23:20
2_女,R15000,新潟県,6:16,22:45
2_女,R16000,富山県,6:11,22:54
2_女,R17000,石川県,6:14,22:59
2_女,R18000,福井県,6:15,22:56
2_女,R19000,山梨県,6:26,23:01
2_女,R20000,長野県,6:21,22:56
2_女,R21000,岐阜県,6:09,22:55
2_女,R22000,静岡県,6:11,23:00
2_女,R23000,愛知県,6:22,23:11
2_女,R24000,三重県,6:20,23:06
2_女,R25000,滋賀県,6:28,23:07
2_女,R26000,京都府,6:41,23:22
2_女,R27000,大阪府,6:36,23:25
2_女,R28000,兵庫県,6:27,23:14
2_女,R29000,奈良県,6:29,23:21
2_女,R30000,和歌山県,6:26,23:02
2_女,R31000,鳥取県,6:18,22:55
2_女,R32000,島根県,6:18,22:50
2_女,R33000,岡山県,6:23,23:01
2_女,R34000,広島県,6:25,23:07
2_女,R35000,山口県,6:21,23:08
2_女,R36000,徳島県,6:24,23:02
2_女,R37000,香川県,6:18,23:07
2_女,R38000,愛媛県,6:31,23:11
2_女,R39000,高知県,6:23,22:52
2_女,R40000,福岡県,6:28,23:14
2_女,R41000,佐賀県,6:25,23:12
2_女,R42000,長崎県,6:25,23:11
2_女,R43000,熊本県,6:22,23:01
2_女,R44000,大分県,6:19,23:00
2_女,R45000,宮崎県,6:17,22:44
2_女,R46000,鹿児島県,6:20,22:59
2_女,R47000,沖縄県,6:30,23:13
